"lineid:integer:p:line[linename]","stationid:integer:p:station[stationname]","kilo:integer","kilocompanyid:integer::company[companyname]"
"江差","江差",0,
"江差","上ノ国",61,
"江差","中須田",93,
"江差","桂岡",114,
"江差","宮越",136,
"江差","湯ノ岱",207,
"江差","神明",235,
"江差","吉堀",367,
"江差","渡島鶴岡",398,
"江差","木古内",421,
"江差","札苅",459,
"江差","泉沢",493,
"江差","釜谷",524,
"江差","渡島当別",573,
"江差","茂辺地",623,
"江差","上磯",711,
"江差","清川口",723,
"江差","久根別",734,
"江差","東久根別",746,
"江差","七重浜",772,
"江差","五稜郭",799,
"海峡","中小国",0,
"海峡","津軽今別",130,
"海峡","竜飛海底",325,
"海峡","吉岡海底",555,
"海峡","知内",760,
"海峡","木古内",878,
"札沼","桑園",0,
"札沼","八軒",22,
"札沼","新川",37,
"札沼","新琴似",56,
"札沼","太平",73,
"札沼","百合が原",86,
"札沼","篠路",102,
"札沼","拓北",122,
"札沼","あいの里教育大",136,
"札沼","あいの里公園",151,
"札沼","石狩太美",193,
"札沼","石狩当別",259,
"札沼","北海道医療大学",289,
"札沼","石狩金沢",311,
"札沼","本中小屋",356,
"札沼","中小屋",388,
"札沼","月ヶ岡",416,
"札沼","知来乙",442,
"札沼","石狩月形",463,
"札沼","豊ヶ岡",510,
"札沼","札比内",535,
"札沼","晩生内",580,
"札沼","札的",609,
"札沼","浦臼",627,
"札沼","鶴沼",661,
"札沼","於札内",679,
"札沼","南下徳富",694,
"札沼","下徳富",715,
"札沼","新十津川",765,
"石勝","南千歳",0,
"石勝","（室）追分",176,
"石勝","東追分",216,
"石勝","川端",270,
"石勝","滝ノ上",358,
"石勝","十三里",402,
"石勝","新夕張",430,
"石勝","占冠",773,
"石勝","トマム",986,
"石勝","新得",1324,
"石勝2","新夕張",0,
"石勝2","沼ノ沢",27,
"石勝2","南清水沢",67,
"石勝2","清水沢",82,
"石勝2","鹿ノ谷",148,
"石勝2","夕張",161,
"石北","新旭川",0,
"石北","南永山",25,
"石北","東旭川",52,
"石北","北日ノ出",73,
"石北","桜岡",102,
"石北","当麻",139,
"石北","将軍山",174,
"石北","伊香牛",195,
"石北","愛別",259,
"石北","中愛別",320,
"石北","愛山",360,
"石北","安足間",380,
"石北","東雲",404,
"石北","上川",449,
"石北","上白滝",789,
"石北","白滝",822,
"石北","旧白滝",883,
"石北","下白滝",927,
"石北","丸瀬布",1019,
"石北","瀬戸瀬",1097,
"石北","遠軽",1208,
"石北","安国",1288,
"石北","（石）生野",1327,
"石北","生田原",1377,
"石北","金華",1527,
"石北","西留辺蘂",1562,
"石北","留辺蘂",1582,
"石北","相内",1691,
"石北","東相内",1737,
"石北","西北見",1763,
"石北","北見",1810,
"石北","柏陽",1837,
"石北","愛し野",1859,
"石北","端野",1873,
"石北","緋牛内",1946,
"石北","美幌",2061,
"石北","西女満別",2131,
"石北","女満別",2181,
"石北","呼人",2259,
"石北","網走",2340,
"釧網","網走",0,
"釧網","桂台",14,
"釧網","鱒浦",62,
"釧網","藻琴",87,
"釧網","北浜",115,
"釧網","原生花園",169,
"釧網","浜小清水",201,
"釧網","止別",258,
"釧網","知床斜里",373,
"釧網","中斜里",419,
"釧網","南斜里",441,
"釧網","清里町",492,
"釧網","札弦",570,
"釧網","緑",653,
"釧網","川湯温泉",798,
"釧網","美留和",870,
"釧網","摩周",957,
"釧網","南弟子屈",1039,
"釧網","磯分内",1104,
"釧網","標茶",1210,
"釧網","五十石",1295,
"釧網","茅沼",1349,
"釧網","塘路",1419,
"釧網","細岡",1491,
"釧網","釧路湿原",1515,
"釧網","遠矢",1588,
"釧網","東釧路",1662,
"宗谷","旭川",0,
"宗谷","旭川四条",18,
